,0,perf,type
0,0.9609756097560975,acc,Original
1,98.44961240310077,sens,Original
2,92.10526315789474,spec,Original
3,95.48872180451127,ppv,Original
4,97.22222222222221,npv,Original
5,0.9918940254539154,auc,Original
6,0.9951219512195122,acc,CTGAN
7,99.00990099009901,sens,CTGAN
8,100.0,spec,CTGAN
9,100.0,ppv,CTGAN
10,99.04761904761905,npv,CTGAN
11,0.9997137541147846,auc,CTGAN
12,0.9609756097560975,acc,Original
13,97.70992366412213,sens,Original
14,93.24324324324324,spec,Original
15,96.2406015037594,ppv,Original
16,95.83333333333334,npv,Original
17,0.996303213508674,auc,Original
18,0.9951219512195122,acc,CTGAN
19,100.0,sens,CTGAN
20,99.14529914529915,spec,CTGAN
21,98.87640449438202,ppv,CTGAN
22,100.0,npv,CTGAN
23,0.9992218586966134,auc,CTGAN
24,0.9658536585365853,acc,Original
25,98.46153846153847,sens,Original
26,93.33333333333333,spec,Original
27,96.2406015037594,ppv,Original
28,97.22222222222221,npv,Original
29,0.9996726803627471,auc,Original
30,0.9951219512195122,acc,CTGAN
31,99.00990099009901,sens,CTGAN
32,100.0,spec,CTGAN
33,100.0,ppv,CTGAN
34,99.04761904761905,npv,CTGAN
35,0.9994632889652212,auc,CTGAN
36,0.9707317073170731,acc,Original
37,97.03703703703704,sens,Original
38,97.14285714285714,spec,Original
39,98.49624060150376,ppv,Original
40,94.44444444444444,npv,Original
41,0.9922213450911681,auc,Original
42,0.9902439024390244,acc,CTGAN
43,98.91304347826086,sens,CTGAN
44,99.11504424778761,spec,CTGAN
45,98.91304347826086,ppv,CTGAN
46,99.11504424778761,npv,CTGAN
47,0.9994148106114343,auc,CTGAN
48,0.9560975609756097,acc,Original
49,96.26865671641791,sens,Original
50,94.36619718309859,spec,Original
51,96.99248120300751,ppv,Original
52,93.05555555555556,npv,Original
53,0.9974392051909043,auc,Original
54,1.0,acc,CTGAN
55,100.0,sens,CTGAN
56,100.0,spec,CTGAN
57,100.0,ppv,CTGAN
58,100.0,npv,CTGAN
59,0.9991713827330265,auc,CTGAN
60,0.9707317073170731,acc,Original
61,97.03703703703704,sens,Original
62,97.14285714285714,spec,Original
63,98.49624060150376,ppv,Original
64,94.44444444444444,npv,Original
65,0.9927989679804378,auc,Original
66,0.9951219512195122,acc,CTGAN
67,98.87640449438202,sens,CTGAN
68,100.0,spec,CTGAN
69,100.0,ppv,CTGAN
70,99.14529914529915,npv,CTGAN
71,0.9995405711054567,auc,CTGAN
72,0.9365853658536586,acc,Original
73,96.15384615384616,sens,Original
74,89.33333333333333,spec,Original
75,93.98496240601504,ppv,Original
76,93.05555555555556,npv,Original
77,0.9970926314573425,auc,Original
78,0.9902439024390244,acc,CTGAN
79,98.9247311827957,sens,CTGAN
80,99.10714285714286,spec,CTGAN
81,98.9247311827957,ppv,CTGAN
82,99.10714285714286,npv,CTGAN
83,0.9993254876901504,auc,CTGAN
84,0.9658536585365853,acc,Original
85,99.21875,sens,Original
86,92.20779220779221,spec,Original
87,95.48872180451127,ppv,Original
88,98.61111111111111,npv,Original
89,0.99980745903691,auc,Original
90,1.0,acc,CTGAN
91,100.0,sens,CTGAN
92,100.0,spec,CTGAN
93,100.0,ppv,CTGAN
94,100.0,npv,CTGAN
95,0.9992176258992805,auc,CTGAN
96,0.9902439024390244,acc,Original
97,100.0,sens,Original
98,97.2972972972973,spec,Original
99,98.49624060150376,ppv,Original
100,100.0,npv,Original
101,0.9930877794250728,auc,Original
102,1.0,acc,CTGAN
103,100.0,sens,CTGAN
104,100.0,spec,CTGAN
105,100.0,ppv,CTGAN
106,100.0,npv,CTGAN
107,0.9992316626462968,auc,CTGAN
108,0.9804878048780488,acc,Original
109,99.23664122137404,sens,Original
110,95.94594594594594,spec,Original
111,97.74436090225564,ppv,Original
112,98.61111111111111,npv,Original
113,0.9933380826770895,auc,Original
114,0.9951219512195122,acc,CTGAN
115,98.79518072289156,sens,CTGAN
116,100.0,spec,CTGAN
117,100.0,ppv,CTGAN
118,99.1869918699187,npv,CTGAN
119,0.9992345861486486,auc,CTGAN
120,0.9707317073170731,acc,Original
121,97.74436090225564,sens,Original
122,95.83333333333334,spec,Original
123,97.74436090225564,ppv,Original
124,95.83333333333334,npv,Original
125,0.9959951479677303,auc,Original
126,0.9951219512195122,acc,CTGAN
127,98.83720930232558,sens,CTGAN
128,100.0,spec,CTGAN
129,100.0,ppv,CTGAN
130,99.16666666666667,npv,CTGAN
131,0.9996385818303626,auc,CTGAN
132,0.9658536585365853,acc,Original
133,100.0,sens,Original
134,91.13924050632912,spec,Original
135,94.73684210526315,ppv,Original
136,100.0,npv,Original
137,0.9993838689181123,auc,Original
138,0.9951219512195122,acc,CTGAN
139,98.82352941176471,sens,CTGAN
140,100.0,spec,CTGAN
141,100.0,ppv,CTGAN
142,99.17355371900827,npv,CTGAN
143,0.999277660324172,auc,CTGAN
144,0.9658536585365853,acc,Original
145,97.72727272727273,sens,Original
146,94.52054794520548,spec,Original
147,96.99248120300751,ppv,Original
148,95.83333333333334,npv,Original
149,0.9933573367733985,auc,Original
150,0.9853658536585366,acc,CTGAN
151,98.85057471264368,sens,CTGAN
152,98.30508474576271,spec,CTGAN
153,97.72727272727273,ppv,CTGAN
154,99.14529914529915,npv,CTGAN
155,0.9993727028555273,auc,CTGAN
156,0.9707317073170731,acc,Original
157,99.2248062015504,sens,Original
158,93.42105263157895,spec,Original
159,96.2406015037594,ppv,Original
160,98.61111111111111,npv,Original
161,0.9966497872422357,auc,Original
162,0.9902439024390244,acc,CTGAN
163,97.77777777777777,sens,CTGAN
164,100.0,spec,CTGAN
165,100.0,ppv,CTGAN
166,98.29059829059828,npv,CTGAN
167,0.9993727028555273,auc,CTGAN
168,0.9707317073170731,acc,Original
169,97.74436090225564,sens,Original
170,95.83333333333334,spec,Original
171,97.74436090225564,ppv,Original
172,95.83333333333334,npv,Original
173,0.9959566397751121,auc,Original
174,0.9951219512195122,acc,CTGAN
175,98.95833333333334,sens,CTGAN
176,100.0,spec,CTGAN
177,100.0,ppv,CTGAN
178,99.0909090909091,npv,CTGAN
179,0.9994041372440903,auc,CTGAN
180,0.9707317073170731,acc,Original
181,97.74436090225564,sens,Original
182,95.83333333333334,spec,Original
183,97.74436090225564,ppv,Original
184,95.83333333333334,npv,Original
185,0.9936846564106513,auc,Original
186,0.9951219512195122,acc,CTGAN
187,100.0,sens,CTGAN
188,99.13793103448276,spec,CTGAN
189,98.88888888888889,ppv,CTGAN
190,100.0,npv,CTGAN
191,0.9993450863777967,auc,CTGAN
192,0.9609756097560975,acc,Original
193,98.44961240310077,sens,Original
194,92.10526315789474,spec,Original
195,95.48872180451127,ppv,Original
196,97.22222222222221,npv,Original
197,0.9966690413385447,auc,Original
198,0.9853658536585366,acc,CTGAN
199,96.5909090909091,sens,CTGAN
200,100.0,spec,CTGAN
201,100.0,ppv,CTGAN
202,97.5,npv,CTGAN
203,1.0,auc,CTGAN
204,0.9560975609756097,acc,Original
205,96.96969696969697,sens,Original
206,93.15068493150685,spec,Original
207,96.2406015037594,ppv,Original
208,94.44444444444444,npv,Original
209,0.9979398116949381,auc,Original
210,0.9902439024390244,acc,CTGAN
211,98.82352941176471,sens,CTGAN
212,99.16666666666667,spec,CTGAN
213,98.82352941176471,ppv,CTGAN
214,99.16666666666667,npv,CTGAN
215,0.9994093898203487,auc,CTGAN
216,0.9707317073170731,acc,Original
217,99.2248062015504,sens,Original
218,93.42105263157895,spec,Original
219,96.2406015037594,ppv,Original
