holdout_proportion,NNDR,type
0.05,0.0,Avatar
0.0736842105263158,0.0,Avatar
0.09736842105263158,0.0,Avatar
0.12105263157894737,0.0,Avatar
0.14473684210526316,0.0,Avatar
0.16842105263157897,0.0,Avatar
0.19210526315789472,0.0,Avatar
0.21578947368421053,0.0,Avatar
0.23947368421052634,0.0,Avatar
0.2631578947368421,0.0,Avatar
0.2868421052631579,0.0,Avatar
0.3105263157894737,0.0,Avatar
0.33421052631578946,0.0,Avatar
0.35789473684210527,0.0,Avatar
0.3815789473684211,0.0,Avatar
0.4052631578947368,0.0,Avatar
0.42894736842105263,0.0,Avatar
0.45263157894736844,0.0,Avatar
0.4763157894736842,0.0,Avatar
0.5,0.0,Avatar
0.05,0.0,Synthpop
0.0736842105263158,0.0,Synthpop
0.09736842105263158,0.0,Synthpop
0.12105263157894737,0.0,Synthpop
0.14473684210526316,0.0,Synthpop
0.16842105263157897,0.0,Synthpop
0.19210526315789472,0.0,Synthpop
0.21578947368421053,0.0,Synthpop
0.23947368421052634,0.0,Synthpop
0.2631578947368421,0.0,Synthpop
0.2868421052631579,0.0,Synthpop
0.3105263157894737,0.0,Synthpop
0.33421052631578946,0.0,Synthpop
0.35789473684210527,0.0,Synthpop
0.3815789473684211,0.0,Synthpop
0.4052631578947368,0.0,Synthpop
0.42894736842105263,0.0,Synthpop
0.45263157894736844,0.0,Synthpop
0.4763157894736842,0.0,Synthpop
0.5,0.3333333333333333,Synthpop
0.05,0.0,CTGAN
0.0736842105263158,0.0,CTGAN
0.09736842105263158,0.0,CTGAN
0.12105263157894737,0.0,CTGAN
0.14473684210526316,0.0,CTGAN
0.16842105263157897,0.0,CTGAN
0.19210526315789472,0.0,CTGAN
0.21578947368421053,0.0,CTGAN
0.23947368421052634,0.0,CTGAN
0.2631578947368421,0.0,CTGAN
0.2868421052631579,0.0,CTGAN
0.3105263157894737,0.0,CTGAN
0.33421052631578946,0.0,CTGAN
0.35789473684210527,0.0,CTGAN
0.3815789473684211,0.0,CTGAN
0.4052631578947368,0.0,CTGAN
0.42894736842105263,0.0,CTGAN
0.45263157894736844,0.0,CTGAN
0.4763157894736842,0.3333333333333333,CTGAN
0.5,0.3333333333333333,CTGAN
